   Selected parameters are:
1 Height, km
2 O, cm-3 
3 N2, cm-3
4 O2, cm-3
5 Temperature_neutral, K
6 Temperature_exospheric, K

      1          2          3          4      5     6
  315.0  4.104E+08  1.078E+08  5.662E+06 1023.5  1031
  316.0  4.034E+08  1.047E+08  5.474E+06 1023.6  1031
  317.0  3.965E+08  1.017E+08  5.293E+06 1023.8  1031
  318.0  3.898E+08  9.870E+07  5.118E+06 1023.9  1031
  319.0  3.832E+08  9.584E+07  4.949E+06 1024.1  1031
  320.0  3.767E+08  9.306E+07  4.785E+06 1024.2  1031
  321.0  3.704E+08  9.036E+07  4.627E+06 1024.4  1031
  322.0  3.641E+08  8.774E+07  4.474E+06 1024.5  1031
  323.0  3.580E+08  8.520E+07  4.326E+06 1024.6  1031
  324.0  3.519E+08  8.273E+07  4.184E+06 1024.8  1031
  325.0  3.460E+08  8.034E+07  4.046E+06 1024.9  1031
  326.0  3.402E+08  7.802E+07  3.912E+06 1025.0  1031
  327.0  3.345E+08  7.576E+07  3.783E+06 1025.1  1031
  328.0  3.288E+08  7.357E+07  3.659E+06 1025.3  1031
  329.0  3.233E+08  7.145E+07  3.538E+06 1025.4  1031
  330.0  3.179E+08  6.939E+07  3.422E+06 1025.5  1031
  331.0  3.126E+08  6.739E+07  3.309E+06 1025.6  1031
  332.0  3.073E+08  6.544E+07  3.201E+06 1025.7  1031
  333.0  3.022E+08  6.356E+07  3.095E+06 1025.8  1031
  334.0  2.971E+08  6.173E+07  2.994E+06 1025.9  1031
  335.0  2.921E+08  5.995E+07  2.896E+06 1026.0  1031
  336.0  2.873E+08  5.822E+07  2.801E+06 1026.1  1031
  337.0  2.825E+08  5.655E+07  2.709E+06 1026.2  1031
  338.0  2.777E+08  5.492E+07  2.620E+06 1026.3  1031
  339.0  2.731E+08  5.334E+07  2.534E+06 1026.4  1031
  340.0  2.685E+08  5.181E+07  2.451E+06 1026.5  1031
  341.0  2.641E+08  5.032E+07  2.371E+06 1026.6  1031
  342.0  2.597E+08  4.888E+07  2.293E+06 1026.7  1031
  343.0  2.553E+08  4.748E+07  2.218E+06 1026.8  1031
  344.0  2.511E+08  4.612E+07  2.146E+06 1026.8  1031
  345.0  2.469E+08  4.479E+07  2.076E+06 1026.9  1031
  346.0  2.428E+08  4.351E+07  2.008E+06 1027.0  1031
  347.0  2.388E+08  4.226E+07  1.942E+06 1027.1  1031
  348.0  2.348E+08  4.105E+07  1.879E+06 1027.2  1031
  349.0  2.309E+08  3.988E+07  1.818E+06 1027.2  1031
  350.0  2.271E+08  3.874E+07  1.758E+06 1027.3  1031
  351.0  2.233E+08  3.763E+07  1.701E+06 1027.4  1031
  352.0  2.196E+08  3.656E+07  1.646E+06 1027.5  1031
  353.0  2.160E+08  3.551E+07  1.592E+06 1027.5  1031
  354.0  2.124E+08  3.450E+07  1.540E+06 1027.6  1031
  355.0  2.089E+08  3.351E+07  1.490E+06 1027.7  1031
  356.0  2.055E+08  3.256E+07  1.442E+06 1027.7  1031
  357.0  2.021E+08  3.163E+07  1.395E+06 1027.8  1031
  358.0  1.987E+08  3.073E+07  1.349E+06 1027.8  1031
  359.0  1.955E+08  2.985E+07  1.305E+06 1027.9  1031
  360.0  1.922E+08  2.900E+07  1.263E+06 1028.0  1031
  361.0  1.891E+08  2.817E+07  1.222E+06 1028.0  1031
  362.0  1.860E+08  2.737E+07  1.182E+06 1028.1  1031
  363.0  1.829E+08  2.659E+07  1.144E+06 1028.1  1031
  364.0  1.799E+08  2.584E+07  1.107E+06 1028.2  1031
  365.0  1.769E+08  2.510E+07  1.071E+06 1028.2  1031
  366.0  1.740E+08  2.439E+07  1.036E+06 1028.3  1031
  367.0  1.712E+08  2.370E+07  1.003E+06 1028.3  1031
  368.0  1.684E+08  2.302E+07  9.703E+05 1028.4  1031
