   Selected parameters are:
1 Height, km
2 Electron_density_Ne, m-3
3 Tn, K
4 Ti, K
5 Te, K

       1            2      3      4      5
  394.00  0.15329E+12 1149.0 1387.3 1589.9
  395.00  0.15260E+12 1149.0 1389.1 1591.8
  396.00  0.15191E+12 1149.1 1390.9 1593.7
  397.00  0.15122E+12 1149.1 1392.7 1595.6
  398.00  0.15052E+12 1149.1 1394.5 1597.4
  399.00  0.14982E+12 1149.2 1396.2 1599.3
  400.00  0.14912E+12 1149.2 1398.0 1601.2
  401.00  0.14841E+12 1149.2 1399.7 1603.1
  402.00  0.14771E+12 1149.3 1401.5 1605.0
  403.00  0.14700E+12 1149.3 1403.2 1606.8
  404.00  0.14628E+12 1149.3 1404.9 1608.7
  405.00  0.14557E+12 1149.4 1406.7 1610.6
  406.00  0.14485E+12 1149.4 1408.4 1612.5
  407.00  0.14413E+12 1149.4 1410.1 1614.4
  408.00  0.14341E+12 1149.4 1411.7 1616.2
  409.00  0.14269E+12 1149.5 1413.4 1618.1
  410.00  0.14197E+12 1149.5 1415.0 1620.0
  411.00  0.14125E+12 1149.5 1416.6 1621.9
  412.00  0.14052E+12 1149.5 1418.2 1623.8
  413.00  0.13980E+12 1149.6 1419.8 1625.6
  414.00  0.13907E+12 1149.6 1421.4 1627.5
  415.00  0.13834E+12 1149.6 1422.9 1629.4
  416.00  0.13762E+12 1149.6 1424.4 1631.3
  417.00  0.13689E+12 1149.7 1425.9 1633.1
  418.00  0.13616E+12 1149.7 1427.4 1635.0
  419.00  0.13543E+12 1149.7 1428.8 1636.9
  420.00  0.13471E+12 1149.7 1430.2 1638.8
  421.00  0.13398E+12 1149.7 1431.5 1640.7
  422.00  0.13325E+12 1149.8 1432.9 1642.5
  423.00  0.13253E+12 1149.8 1434.1 1644.4
  424.00  0.13180E+12 1149.8 1435.4 1646.3
  425.00  0.13108E+12 1149.8 1436.6 1648.2
  426.00  0.13035E+12 1149.8 1437.7 1650.1
  427.00  0.12963E+12 1149.9 1438.9 1651.9
  428.00  0.12890E+12 1149.9 1439.9 1653.8
  429.00  0.12818E+12 1149.9 1441.0 1655.7
  430.00  0.12746E+12 1149.9 1442.0 1657.6
  431.00  0.12674E+12 1149.9 1442.9 1659.5
  432.00  0.12602E+12 1149.9 1443.8 1661.3
  433.00  0.12531E+12 1150.0 1444.7 1663.2
  434.00  0.12459E+12 1150.0 1445.5 1665.1
  435.00  0.12388E+12 1150.0 1446.3 1667.0
  436.00  0.12317E+12 1150.0 1447.0 1668.9
  437.00  0.12246E+12 1150.0 1447.7 1670.7
  438.00  0.12175E+12 1150.0 1448.4 1672.6
  439.00  0.12104E+12 1150.0 1449.0 1674.5
  440.00  0.12034E+12 1150.1 1449.6 1676.4
  441.00  0.11964E+12 1150.1 1450.1 1678.3
  442.00  0.11893E+12 1150.1 1450.6 1680.1
  443.00  0.11824E+12 1150.1 1451.1 1682.0
  444.00  0.11754E+12 1150.1 1451.6 1683.9
  445.00  0.11685E+12 1150.1 1452.0 1685.8
  446.00  0.11615E+12 1150.1 1452.4 1687.6
  447.00  0.11547E+12 1150.1 1452.8 1689.5
  448.00  0.11478E+12 1150.2 1453.1 1691.4
  449.00  0.11409E+12 1150.2 1453.5 1693.3
  450.00  0.11341E+12 1150.2 1453.8 1695.2
  451.00  0.11273E+12 1150.2 1454.1 1697.0
  452.00  0.11206E+12 1150.2 1454.4 1698.9
  453.00  0.11138E+12 1150.2 1454.6 1700.8
  454.00  0.11071E+12 1150.2 1454.9 1702.7
  455.00  0.11004E+12 1150.2 1455.1 1704.6
  456.00  0.10938E+12 1150.2 1455.3 1706.4
  457.00  0.10872E+12 1150.3 1455.6 1708.3
  458.00  0.10806E+12 1150.3 1455.8 1710.2
  459.00  0.10740E+12 1150.3 1456.0 1712.1
  460.00  0.10674E+12 1150.3 1456.1 1714.0
  461.00  0.10609E+12 1150.3 1456.3 1715.8
  462.00  0.10544E+12 1150.3 1456.5 1717.7
  463.00  0.10480E+12 1150.3 1456.6 1719.6
  464.00  0.10416E+12 1150.3 1456.8 1721.5
  465.00  0.10352E+12 1150.3 1457.0 1723.4
  466.00  0.10288E+12 1150.3 1457.1 1725.2
  467.00  0.10225E+12 1150.3 1457.2 1727.1
  468.00  0.10162E+12 1150.3 1457.4 1729.0
  469.00  0.10099E+12 1150.4 1457.5 1730.9
  470.00  0.10037E+12 1150.4 1457.6 1732.8
  471.00  0.99749E+11 1150.4 1457.8 1734.6
  472.00  0.99131E+11 1150.4 1457.9 1736.5
  473.00  0.98518E+11 1150.4 1458.0 1738.4
  474.00  0.97907E+11 1150.4 1458.1 1740.3
  475.00  0.97299E+11 1150.4 1458.3 1742.2
  476.00  0.96695E+11 1150.4 1458.4 1744.0
  477.00  0.96094E+11 1150.4 1458.5 1745.9
  478.00  0.95497E+11 1150.4 1458.6 1747.8
